round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,random,0.6244444444444445,0.1729200652528548,0.39664394191331337,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_Weather.csv
2,random,0.7807407407407407,0.308411214953271,0.7052156080257178,0.517186856161645,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Weather.csv
3,random,0.8281481481481482,0.35195530726256985,0.7165502715885157,0.4673845330338393,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
4,random,0.8377777777777777,0.34626865671641793,0.7180467797361711,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
5,random,0.8377777777777777,0.34626865671641793,0.7138898126593504,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
