strategy,final_accuracy,final_f1,final_auc,final_fairness,avg_comm_cost,avg_selected_clients
mho,0.48592592592592593,0.322265625,0.7242129475667887,0.8683655524856727,0.6666666666666666,2.0
random,0.8377777777777777,0.34626865671641793,0.7138898126593504,0.33333333333333337,0.6666666666666666,2.0
greedy,0.6022222222222222,0.3159235668789809,0.7046982965672689,0.5851815284013784,0.6666666666666666,2.0
clustered,0.8362962962962963,0.34421364985163205,0.710374866053283,0.33333333333333337,0.6666666666666666,2.0
all,0.7614814814814815,0.3177966101694915,0.7119314192809372,0.5193039568432821,1.0,3.0
