round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names,proxy_f1,proxy_fairness,proxy_comm_cost,pareto_size,hmho_val_f1,hmho_variant
1,mho,0.8111111111111111,0.1774193548387097,0.5794738284461496,0.47656765676567653,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,0.2524271844660194,0.59211337030191,0.6666666666666666,5.0,0.14285714285714285,mho_raw
2,mho,0.7314814814814815,0.3062200956937799,0.593238496225616,0.5882614495331258,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Modbus.csv,0.21348314606741572,0.3333333333333333,0.6666666666666666,8.0,0.23115577889447236,mho_raw
3,mho,0.5648148148148148,0.30678466076696165,0.5838087645432124,0.8682391395801994,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,0.23529411764705882,0.6198044620350084,0.6666666666666666,7.0,0.29357798165137616,mho_mixed
1,random,0.5685185185185185,0.1708185053380783,0.42279329330576243,0.4433196862878339,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,,,,,,
2,random,0.5888888888888889,0.17164179104477612,0.4566506390293729,0.33333333333333337,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Modbus.csv,,,,,,
3,random,0.6185185185185185,0.1557377049180328,0.43382994095518074,0.3333333333333333,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv,,,,,,
1,greedy,0.22407407407407406,0.28862478777589134,0.5919056279428984,0.9542974262501621,0.6666666666666666,2,IoT_Fridge.csv;IoT_Thermostat.csv,,,,,,
2,greedy,0.7074074074074074,0.27522935779816515,0.5658461845088318,0.5961896848120282,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,,,,,,
3,greedy,0.6759259259259259,0.23580786026200873,0.5353023244226314,0.7312354766723591,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,,,,,,
1,clustered,0.8351851851851851,0.0,0.512979894865343,0.0,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,,,,,,
2,clustered,0.812962962962963,0.056074766355140186,0.4997010388898578,0.5605422178670587,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,,,,,,
3,clustered,0.6759259259259259,0.1784037558685446,0.4990034629661924,0.8682109876349978,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,,,,,,
1,all,0.2777777777777778,0.2857142857142857,0.4926007125239792,0.9541770562219564,1.0,3,IoT_Fridge.csv;IoT_Thermostat.csv;IoT_Modbus.csv,,,,,,
2,all,0.3333333333333333,0.27710843373493976,0.4759087172077032,0.9593681589889016,1.0,3,IoT_Fridge.csv;IoT_Thermostat.csv;IoT_Modbus.csv,,,,,,
3,all,0.46296296296296297,0.25257731958762886,0.5004858118039812,0.900768194725099,1.0,3,IoT_Fridge.csv;IoT_Thermostat.csv;IoT_Modbus.csv,,,,,,
