round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,random,0.5685185185185185,0.1708185053380783,0.42279329330576243,0.4433196862878339,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv
2,random,0.5888888888888889,0.17164179104477612,0.4566506390293729,0.33333333333333337,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Modbus.csv
3,random,0.6185185185185185,0.1557377049180328,0.43382994095518074,0.3333333333333333,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv
