strategy,final_accuracy,final_f1,final_auc,final_fairness,avg_comm_cost,avg_selected_clients
mho,0.5648148148148148,0.30678466076696165,0.5838087645432124,0.8682391395801994,0.6666666666666666,2.0
random,0.6185185185185185,0.1557377049180328,0.43382994095518074,0.3333333333333333,0.6666666666666666,2.0
greedy,0.6759259259259259,0.23580786026200873,0.5353023244226314,0.7312354766723591,0.6666666666666666,2.0
clustered,0.6759259259259259,0.1784037558685446,0.4990034629661924,0.8682109876349978,0.6666666666666666,2.0
all,0.46296296296296297,0.25257731958762886,0.5004858118039812,0.900768194725099,1.0,3.0
