round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names,proxy_f1,proxy_fairness,proxy_comm_cost,pareto_size,hmho_val_f1,hmho_variant
1,mho,0.7092592592592593,0.13259668508287292,0.46159088272822185,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_Thermostat.csv,0.0,0.0,0.6666666666666666,8.0,0.11764705882352941,mho_raw
2,mho,0.575925925925926,0.14232209737827714,0.4521662220160074,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_Thermostat.csv,0.1722488038277512,0.33333333333333337,0.6666666666666666,1.0,0.15447154471544716,mho_stabilized
3,mho,0.25555555555555554,0.22393822393822393,0.4159755248811043,0.9979161305540682,0.6666666666666666,2,IoT_Fridge.csv;IoT_Thermostat.csv,0.17490494296577946,0.6343234323432344,0.6666666666666666,8.0,0.22612085769980506,mho_raw
