round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,clustered,0.6333333333333333,0.23846153846153847,0.5314493678227583,0.5993991023998443,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv
2,clustered,0.8611111111111112,0.0,0.5636962069365502,0.0,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv
3,clustered,0.8314814814814815,0.23529411764705882,0.6067596566523605,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv
