round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,hybrid,0.8377777777777777,0.34626865671641793,0.714836677382404,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
2,hybrid,0.8377777777777777,0.34626865671641793,0.7162869970069836,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
3,hybrid,0.8377777777777777,0.34626865671641793,0.7166472674869748,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
4,hybrid,0.8377777777777777,0.34626865671641793,0.7211737427484018,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
5,hybrid,0.8377777777777777,0.34626865671641793,0.724679451649854,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
