round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,random,0.7511111111111111,0.13402061855670103,0.5424426338543399,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_Weather.csv
2,random,0.7555555555555555,0.32926829268292684,0.7119360381332447,0.5524333965507192,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Weather.csv
3,random,0.7585185185185185,0.3319672131147541,0.7170029191146584,0.5554819533710448,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
4,random,0.774074074074074,0.3207126948775056,0.7129106159701437,0.5458129038002306,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
5,random,0.822962962962963,0.3523035230352303,0.7194139600192144,0.495820537743309,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
