round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,clustered,0.8377777777777777,0.34626865671641793,0.7099868824594464,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
2,clustered,0.8377777777777777,0.34626865671641793,0.70740494401951,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
3,clustered,0.8377777777777777,0.34626865671641793,0.7035943908657577,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
4,clustered,0.8377777777777777,0.34626865671641793,0.6996498909950855,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
5,clustered,0.8377777777777777,0.34626865671641793,0.7007537966965969,0.33333333333333337,0.6666666666666666,2,IoT_Weather.csv;IoT_Garage_Door.csv
