strategy,final_accuracy,final_f1,final_auc,final_fairness,avg_comm_cost,avg_selected_clients
mho,0.6837037037037037,0.1958568738229755,0.49806590341593016,0.5966590124908894,0.6666666666666666,2.0
random,0.6548148148148148,0.3473389355742297,0.6626101928642938,0.6437141490804175,0.6666666666666666,2.0
greedy,0.7933333333333333,0.2638522427440633,0.6342823975785812,0.3850068670305844,0.6666666666666666,2.0
clustered,0.7962962962962963,0.2587601078167116,0.6452559123365367,0.36070113115345115,0.6666666666666666,2.0
all,0.794074074074074,0.26842105263157895,0.6161646066168308,0.3333333333333333,1.0,3.0
