round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names,proxy_f1,proxy_fairness,proxy_comm_cost,pareto_size
1,mho,0.7325925925925926,0.2100656455142232,0.528781616538571,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,0.23284823284823286,0.3333333333333333,0.6666666666666666,7.0
2,mho,0.7318518518518519,0.2096069868995633,0.5128998204192297,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,0.2345415778251599,0.33333333333333337,0.6666666666666666,2.0
3,mho,0.5525925925925926,0.24688279301745636,0.4959117132628775,0.6659228930730741,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,0.277992277992278,0.649733888190754,0.6666666666666666,6.0
4,mho,0.6696296296296296,0.21201413427561838,0.5041506141194894,0.6103119475200314,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,0.24691358024691357,0.619366963520113,0.6666666666666666,2.0
5,mho,0.6837037037037037,0.1958568738229755,0.49806590341593016,0.5966590124908894,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,0.2409972299168975,0.656023704560237,0.6666666666666666,9.0
