round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,random,0.7925925925925926,0.2893401015228426,0.5433506421668115,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_GPS_Tracker.csv
2,random,0.7962962962962963,0.26666666666666666,0.5567120747616952,0.3333333333333333,0.6666666666666666,2,IoT_Modbus.csv;IoT_GPS_Tracker.csv
3,random,0.7770370370370371,0.2850356294536817,0.5867188139099135,0.4094443299418123,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
4,random,0.6533333333333333,0.3352272727272727,0.6206132235332613,0.6407113902681374,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
5,random,0.6548148148148148,0.3473389355742297,0.6626101928642938,0.6437141490804175,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
