round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names,proxy_f1,proxy_fairness,proxy_comm_cost,pareto_size
1,mho,0.7325925925925926,0.2100656455142232,0.528781616538571,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,0.23284823284823286,0.3333333333333333,0.6666666666666666,7.0
2,mho,0.7318518518518519,0.2096069868995633,0.5128998204192297,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,0.2345415778251599,0.33333333333333337,0.6666666666666666,2.0
3,mho,0.5525925925925926,0.24688279301745636,0.4959117132628775,0.6659228930730741,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,0.277992277992278,0.649733888190754,0.6666666666666666,6.0
4,mho,0.6696296296296296,0.21201413427561838,0.5041506141194894,0.6103119475200314,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,0.24691358024691357,0.619366963520113,0.6666666666666666,2.0
5,mho,0.6837037037037037,0.1958568738229755,0.49806590341593016,0.5966590124908894,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv,0.2409972299168975,0.656023704560237,0.6666666666666666,9.0
1,random,0.7925925925925926,0.2893401015228426,0.5433506421668115,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_GPS_Tracker.csv,,,,
2,random,0.7962962962962963,0.26666666666666666,0.5567120747616952,0.3333333333333333,0.6666666666666666,2,IoT_Modbus.csv;IoT_GPS_Tracker.csv,,,,
3,random,0.7770370370370371,0.2850356294536817,0.5867188139099135,0.4094443299418123,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,,,,
4,random,0.6533333333333333,0.3352272727272727,0.6206132235332613,0.6407113902681374,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,,,,
5,random,0.6548148148148148,0.3473389355742297,0.6626101928642938,0.6437141490804175,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv,,,,
1,greedy,0.8022222222222222,0.21700879765395895,0.5936254669684351,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
2,greedy,0.7985185185185185,0.24022346368715083,0.6204067640791714,0.33333333333333337,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
3,greedy,0.794074074074074,0.25668449197860965,0.6272939398307033,0.38742193738632924,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
4,greedy,0.7977777777777778,0.2680965147453083,0.6308933461623862,0.38643130986482876,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
5,greedy,0.7933333333333333,0.2638522427440633,0.6342823975785812,0.3850068670305844,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
1,clustered,0.8111111111111111,0.19558359621451105,0.6057734633378651,0.33333333333333337,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
2,clustered,0.8022222222222222,0.2349570200573066,0.6253462091317405,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
3,clustered,0.8,0.25,0.6397672072268599,0.33333333333333337,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
4,clustered,0.797037037037037,0.2430939226519337,0.6458791861602048,0.33333333333333337,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
5,clustered,0.7962962962962963,0.2587601078167116,0.6452559123365367,0.36070113115345115,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv,,,,
1,all,0.8111111111111111,0.2006269592476489,0.571518723535209,0.3333333333333333,1.0,3,IoT_Fridge.csv;IoT_Modbus.csv;IoT_GPS_Tracker.csv,,,,
2,all,0.8014814814814815,0.24293785310734464,0.5575262261938615,0.3333333333333333,1.0,3,IoT_Fridge.csv;IoT_Modbus.csv;IoT_GPS_Tracker.csv,,,,
3,all,0.7955555555555556,0.26595744680851063,0.556565994959273,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Modbus.csv;IoT_GPS_Tracker.csv,,,,
4,all,0.7925925925925926,0.2670157068062827,0.5943733955568367,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Modbus.csv;IoT_GPS_Tracker.csv,,,,
5,all,0.794074074074074,0.26842105263157895,0.6161646066168308,0.3333333333333333,1.0,3,IoT_Fridge.csv;IoT_Modbus.csv;IoT_GPS_Tracker.csv,,,,
