round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,clustered,0.8111111111111111,0.19558359621451105,0.6057734633378651,0.33333333333333337,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
2,clustered,0.8022222222222222,0.2349570200573066,0.6253462091317405,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
3,clustered,0.8,0.25,0.6397672072268599,0.33333333333333337,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
4,clustered,0.797037037037037,0.2430939226519337,0.6458791861602048,0.33333333333333337,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
5,clustered,0.7962962962962963,0.2587601078167116,0.6452559123365367,0.36070113115345115,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
