round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names,proxy_f1,proxy_fairness,proxy_comm_cost,pareto_size,hmho_val_f1,hmho_variant
1,mho,0.822962962962963,0.24126984126984127,0.5602159775339024,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_GPS_Tracker.csv,0.22129436325678498,0.6575499402450375,0.6666666666666666,7.0,0.22699386503067484,mho_mixed
2,mho,0.7096296296296296,0.2898550724637681,0.588423308576285,0.644742557975778,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv,0.27802690582959644,0.6340532565524782,0.6666666666666666,18.0,0.27353463587921845,mho_stabilized
3,mho,0.7096296296296296,0.2898550724637681,0.588423308576285,0.644742557975778,0.6666666666666666,2,IoT_Fridge.csv;IoT_GPS_Tracker.csv,0.27787307032590053,0.6233058009653052,0.6666666666666666,14.0,0.27353463587921845,mho_keep
4,mho,0.7096296296296296,0.2898550724637681,0.588423308576285,0.644742557975778,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv,0.24685138539042822,0.8556655871619113,0.6666666666666666,3.0,0.27353463587921845,mho_keep
5,mho,0.7096296296296296,0.2898550724637681,0.588423308576285,0.644742557975778,0.6666666666666666,2,IoT_Thermostat.csv;IoT_GPS_Tracker.csv,0.2543103448275862,0.9658054423852879,0.6666666666666666,7.0,0.27353463587921845,mho_keep
1,random,0.8251851851851851,0.2891566265060241,0.5519436130510291,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_GPS_Tracker.csv,,,,,,
2,random,0.8362962962962963,0.22456140350877193,0.6025200458190149,0.3333333333333333,0.6666666666666666,2,IoT_Thermostat.csv;IoT_GPS_Tracker.csv,,,,,,
3,random,0.6214814814814815,0.26049204052098407,0.6188707829878431,0.616450509876533,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv,,,,,,
4,random,0.6274074074074074,0.25920471281296026,0.6263325388907364,0.6139689384004188,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv,,,,,,
5,random,0.6355555555555555,0.24074074074074073,0.5983931012821934,0.6322633847626629,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv,,,,,,
1,greedy,0.8414814814814815,0.2246376811594203,0.5783080220226877,0.33333333333333337,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Fridge.csv,,,,,,
2,greedy,0.8296296296296296,0.28125,0.5743311901858625,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Fridge.csv,,,,,,
3,greedy,0.8281481481481482,0.30120481927710846,0.5810608579980046,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Fridge.csv,,,,,,
4,greedy,0.8281481481481482,0.30538922155688625,0.5978134353175923,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Fridge.csv,,,,,,
5,greedy,0.8266666666666667,0.3157894736842105,0.630731995713705,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Fridge.csv,,,,,,
1,clustered,0.8340740740740741,0.23809523809523808,0.6066262055204522,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv,,,,,,
2,clustered,0.8303703703703704,0.254071661237785,0.6257713483353655,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv,,,,,,
3,clustered,0.8288888888888889,0.26666666666666666,0.6226490041754424,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv,,,,,,
4,clustered,0.8281481481481482,0.26582278481012656,0.6262840409415069,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv,,,,,,
5,clustered,0.8288888888888889,0.28923076923076924,0.6264918892953479,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv,,,,,,
1,all,0.8288888888888889,0.2222222222222222,0.5823772309056646,0.3740457429328728,1.0,3,IoT_Fridge.csv;IoT_Thermostat.csv;IoT_GPS_Tracker.csv,,,,,,
2,all,0.8414814814814815,0.2302158273381295,0.5851208291763663,0.3333333333333333,1.0,3,IoT_Fridge.csv;IoT_Thermostat.csv;IoT_GPS_Tracker.csv,,,,,,
3,all,0.8355555555555556,0.23972602739726026,0.5892801056793407,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Thermostat.csv;IoT_GPS_Tracker.csv,,,,,,
4,all,0.8340740740740741,0.24324324324324326,0.6368334996120163,0.3333333333333333,1.0,3,IoT_Fridge.csv;IoT_Thermostat.csv;IoT_GPS_Tracker.csv,,,,,,
5,all,0.8325925925925926,0.24666666666666667,0.6496161733732402,0.3333333333333333,1.0,3,IoT_Fridge.csv;IoT_Thermostat.csv;IoT_GPS_Tracker.csv,,,,,,
