strategy,final_accuracy,final_f1,final_auc,final_fairness,avg_comm_cost,avg_selected_clients
mho,0.7096296296296296,0.2898550724637681,0.588423308576285,0.644742557975778,0.6666666666666666,2.0
random,0.6355555555555555,0.24074074074074073,0.5983931012821934,0.6322633847626629,0.6666666666666666,2.0
greedy,0.8266666666666667,0.3157894736842105,0.630731995713705,0.3333333333333333,0.6666666666666666,2.0
clustered,0.8288888888888889,0.28923076923076924,0.6264918892953479,0.3333333333333333,0.6666666666666666,2.0
all,0.8325925925925926,0.24666666666666667,0.6496161733732402,0.3333333333333333,1.0,3.0
