round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,clustered,0.8340740740740741,0.23809523809523808,0.6066262055204522,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv
2,clustered,0.8303703703703704,0.254071661237785,0.6257713483353655,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv
3,clustered,0.8288888888888889,0.26666666666666666,0.6226490041754424,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv
4,clustered,0.8281481481481482,0.26582278481012656,0.6262840409415069,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv
5,clustered,0.8288888888888889,0.28923076923076924,0.6264918892953479,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Thermostat.csv
