round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,hybrid,0.8407407407407408,0.3504531722054381,0.727201095137739,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
2,hybrid,0.8407407407407408,0.3504531722054381,0.726142650158061,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
3,hybrid,0.8407407407407408,0.3504531722054381,0.730442288875508,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
4,hybrid,0.8407407407407408,0.3504531722054381,0.7316183388529278,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
5,hybrid,0.8407407407407408,0.3504531722054381,0.7293179850970946,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
