round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names,proxy_f1,proxy_fairness,proxy_comm_cost,pareto_size
1,mho,0.8407407407407408,0.3504531722054381,0.7089934893873251,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,0.375,0.5484115454069298,0.6666666666666666,3.0
2,mho,0.8407407407407408,0.3504531722054381,0.709828484871293,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv,0.3625,0.33333333333333337,0.6666666666666666,19.0
3,mho,0.8407407407407408,0.3504531722054381,0.7039411786843294,0.33333333333333337,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv,0.3603960396039604,0.5815425301155392,0.6666666666666666,1.0
4,mho,0.8407407407407408,0.3504531722054381,0.7058016897486075,0.33333333333333337,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv,0.32122905027932963,0.7884061341873826,0.6666666666666666,4.0
5,mho,0.5881481481481482,0.305,0.7128485812133073,0.7546849740423313,0.6666666666666666,2,IoT_Fridge.csv;IoT_Thermostat.csv,0.32558139534883723,0.845812021706621,0.6666666666666666,3.0
