round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,random,0.6533333333333333,0.1875,0.43938638416378145,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Thermostat.csv
2,random,0.8407407407407408,0.3504531722054381,0.7174539929248833,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Thermostat.csv
3,random,0.8407407407407408,0.3504531722054381,0.7454651512870691,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
4,random,0.8407407407407408,0.3504531722054381,0.7312866927592955,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
5,random,0.8407407407407408,0.3504531722054381,0.7294332379948818,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
