strategy,final_accuracy,final_f1,final_auc,final_fairness,avg_comm_cost,avg_selected_clients
mho,0.5881481481481482,0.305,0.7128485812133073,0.7546849740423313,0.6666666666666666,2.0
hybrid,0.8407407407407408,0.3504531722054381,0.7293179850970946,0.33333333333333337,0.6666666666666666,2.0
random,0.8407407407407408,0.3504531722054381,0.7294332379948818,0.33333333333333337,0.6666666666666666,2.0
greedy,0.8407407407407408,0.3504531722054381,0.7181784397109741,0.33333333333333337,0.6666666666666666,2.0
clustered,0.8407407407407408,0.3504531722054381,0.7066390373325304,0.33333333333333337,0.6666666666666666,2.0
all,0.8407407407407408,0.3504531722054381,0.7043551482763812,0.33333333333333337,1.0,3.0
