strategy,final_accuracy,final_f1,final_auc,final_fairness,avg_comm_cost,avg_selected_clients
mho,0.5214814814814814,0.3008658008658009,0.716315576546741,0.8128038574068505,0.6666666666666666,2.0
hybrid,0.8407407407407408,0.3504531722054381,0.7199966129760651,0.33333333333333337,0.6666666666666666,2.0
