round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names,proxy_f1,proxy_fairness,proxy_comm_cost,pareto_size
1,mho,0.8407407407407408,0.3504531722054381,0.7105011854583774,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,0.37659033078880405,0.5594208150149121,0.6666666666666666,7.0
2,mho,0.8437037037037037,0.33015873015873015,0.6876223091976517,0.3333333333333333,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Thermostat.csv,0.32971014492753625,0.5807872931198651,0.6666666666666666,25.0
3,mho,0.44074074074074077,0.301572617946346,0.6982608572933915,0.843047128909825,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv,0.31125131440588855,0.8297045009606212,0.6666666666666666,17.0
4,mho,0.4888888888888889,0.31137724550898205,0.7281066536203523,0.8505157056800918,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv,0.34925864909390447,0.8036342466892964,0.6666666666666666,19.0
5,mho,0.5214814814814814,0.3008658008658009,0.716315576546741,0.8128038574068505,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,0.32044198895027626,0.8279011145178575,0.6666666666666666,14.0
