Algorithm,Mean F1,Final F1,Best F1,Mean AUC,Fairness Var,Mean Cost,Efficiency(F1/Cost),Utility
Hybrid PSO-GWO,0.6703233654636865,0.6666666666666666,0.698531528937518,0.618913623784684,0.002603247362958272,0.1809523809523809,4.053701845885924,0.6517074778958568
GWO,0.6493032330866083,0.6650381679389313,0.6835836354220611,0.5953991631224201,0.008069134999939704,0.22857142857142854,3.2417146537524024,0.6248322632294776
Greedy,0.6489507085506847,0.6452418096723869,0.662111801242236,0.6400963137114045,0.0008368380228353506,0.42857142857142866,1.5142183199480648,0.605926198088975
PSO,0.6422141287766708,0.6650351789538085,0.6703747072599532,0.613267064084877,0.03052573659323377,0.35238095238095235,2.0151893701165884,0.6008708862199289
Random,0.6250050731811391,0.5770907649623465,0.6693184831609653,0.6278715710604441,0.03756102227526952,0.42857142857142866,1.4583451707525883,0.5746357258689423
AllClient,0.6461733799795147,0.6417212347988774,0.6777408637873754,0.6351754912284998,0.05780299046475644,1.0,0.6461733799788685,0.5346127818865635
Clustered,0.574289146158789,0.6309235558630232,0.6309235558630232,0.5965969450090749,0.013131721649714979,0.42857142857142866,1.3400080077007146,0.5288056589717033
