round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,hybrid,0.8407407407407408,0.3504531722054381,0.7265707323498419,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv
2,hybrid,0.8407407407407408,0.3504531722054381,0.7285041585127201,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
3,hybrid,0.8407407407407408,0.3504531722054381,0.7302211914797532,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
4,hybrid,0.8407407407407408,0.3504531722054381,0.7307104282703597,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
5,hybrid,0.8407407407407408,0.3504531722054381,0.7318629572482311,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv
