round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names,proxy_f1,proxy_fairness,proxy_comm_cost,pareto_size
1,mho,0.8407407407407408,0.3504531722054381,0.7165907722414571,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv,0.36936936936936937,0.5748938104101013,0.6666666666666666,1.0
2,mho,0.7651851851851852,0.32696390658174096,0.7151301181695018,0.5313299443611491,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,0.3685393258426966,0.5740198675175932,0.6666666666666666,4.0
3,mho,0.8407407407407408,0.3504531722054381,0.7113644061418034,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv,0.3532110091743119,0.5433214536058516,0.6666666666666666,3.0
4,mho,0.8407407407407408,0.3504531722054381,0.7180678910130965,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Thermostat.csv,0.336283185840708,0.8425121091587259,0.6666666666666666,2.0
5,mho,0.7185185185185186,0.3448275862068966,0.739055678910131,0.5920008273223195,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv,0.33229813664596275,0.5740020765117178,0.6666666666666666,4.0
1,hybrid,0.8407407407407408,0.3504531722054381,0.7127850745145266,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
2,hybrid,0.8407407407407408,0.3504531722054381,0.7227085842239951,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
3,hybrid,0.8407407407407408,0.3504531722054381,0.7308303853680567,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
4,hybrid,0.8407407407407408,0.3504531722054381,0.7301600368809273,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
5,hybrid,0.8407407407407408,0.3504531722054381,0.7311361583621858,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
1,random,0.43333333333333335,0.13166855845629966,0.45696127502634354,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Thermostat.csv,,,,
2,random,0.5948148148148148,0.29781771501925547,0.7137659001956946,0.5669616519174041,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Thermostat.csv,,,,
3,random,0.5948148148148148,0.29781771501925547,0.7152453710672888,0.5669616519174041,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
4,random,0.5948148148148148,0.29781771501925547,0.7108587046515129,0.5669616519174041,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
5,random,0.5948148148148148,0.29781771501925547,0.7149819358723468,0.5669616519174041,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
1,greedy,0.6288888888888889,0.30896551724137933,0.7166472226403733,0.5738594310218176,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Thermostat.csv,,,,
2,greedy,0.7207407407407408,0.34205933682373474,0.7200930490742135,0.5920008273223195,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
3,greedy,0.8407407407407408,0.3504531722054381,0.7199989650760199,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
4,greedy,0.8407407407407408,0.3504531722054381,0.7219417996387175,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
5,greedy,0.8407407407407408,0.3504531722054381,0.7293179850970946,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
1,clustered,0.8407407407407408,0.3504531722054381,0.7069448103266596,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv,,,,
2,clustered,0.8407407407407408,0.3504531722054381,0.7232401588137889,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
3,clustered,0.8407407407407408,0.3504531722054381,0.7367035789552911,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
4,clustered,0.8407407407407408,0.3504531722054381,0.7383265279241307,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv,,,,
5,clustered,0.8407407407407408,0.3504531722054381,0.7342903244016258,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv,,,,
1,all,0.8407407407407408,0.3504531722054381,0.7160450850519344,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Thermostat.csv,,,,
2,all,0.8407407407407408,0.3504531722054381,0.7164002521451152,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Thermostat.csv,,,,
3,all,0.8407407407407408,0.3504531722054381,0.7149231333734758,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Thermostat.csv,,,,
4,all,0.8407407407407408,0.3504531722054381,0.6919878067138341,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Thermostat.csv,,,,
5,all,0.8407407407407408,0.3504531722054381,0.6954171684479904,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Thermostat.csv,,,,
