round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,clustered,0.8407407407407408,0.3504531722054381,0.7069448103266596,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv
2,clustered,0.8407407407407408,0.3504531722054381,0.7232401588137889,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
3,clustered,0.8407407407407408,0.3504531722054381,0.7367035789552911,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
4,clustered,0.8407407407407408,0.3504531722054381,0.7383265279241307,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
5,clustered,0.8407407407407408,0.3504531722054381,0.7342903244016258,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Garage_Door.csv
