round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,hybrid,0.8407407407407408,0.3504531722054381,0.7127850745145266,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
2,hybrid,0.8407407407407408,0.3504531722054381,0.7227085842239951,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
3,hybrid,0.8407407407407408,0.3504531722054381,0.7308303853680567,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
4,hybrid,0.8407407407407408,0.3504531722054381,0.7301600368809273,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
5,hybrid,0.8407407407407408,0.3504531722054381,0.7311361583621858,0.33333333333333337,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
