round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,random,0.43333333333333335,0.13166855845629966,0.45696127502634354,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Thermostat.csv
2,random,0.5948148148148148,0.29781771501925547,0.7137659001956946,0.5669616519174041,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Thermostat.csv
3,random,0.5948148148148148,0.29781771501925547,0.7152453710672888,0.5669616519174041,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
4,random,0.5948148148148148,0.29781771501925547,0.7108587046515129,0.5669616519174041,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
5,random,0.5948148148148148,0.29781771501925547,0.7149819358723468,0.5669616519174041,0.6666666666666666,2,IoT_Garage_Door.csv;IoT_Fridge.csv
