strategy,final_accuracy,final_f1,final_auc,final_fairness,avg_comm_cost,avg_selected_clients
mho,0.7185185185185186,0.3448275862068966,0.739055678910131,0.5920008273223195,0.6666666666666666,2.0
hybrid,0.8407407407407408,0.3504531722054381,0.7311361583621858,0.33333333333333337,0.6666666666666666,2.0
random,0.5948148148148148,0.29781771501925547,0.7149819358723468,0.5669616519174041,0.6666666666666666,2.0
greedy,0.8407407407407408,0.3504531722054381,0.7293179850970946,0.33333333333333337,0.6666666666666666,2.0
clustered,0.8407407407407408,0.3504531722054381,0.7342903244016258,0.33333333333333337,0.6666666666666666,2.0
all,0.8407407407407408,0.3504531722054381,0.6954171684479904,0.33333333333333337,1.0,3.0
