round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,greedy,0.7874074074074074,0.11692307692307692,0.5769955555555555,0.3333333333333333,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
2,greedy,0.717037037037037,0.22983870967741934,0.5853629629629629,0.3333333333333333,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
3,greedy,0.6955555555555556,0.27256637168141595,0.5863091358024691,0.3333333333333333,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
4,greedy,0.7348148148148148,0.22844827586206898,0.5821353086419753,0.33333333333333337,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
5,greedy,0.7525925925925926,0.1971153846153846,0.5725234567901235,0.3333333333333333,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
