strategy,final_accuracy,final_f1,final_auc,final_fairness,avg_comm_cost,avg_selected_clients
mho,0.5733333333333334,0.25,0.5095012345679012,0.8267917780928296,0.6666666666666666,2.0
random,0.6185185185185185,0.17335473515248795,0.4407703703703704,0.3333333333333333,0.6666666666666666,2.0
greedy,0.7525925925925926,0.1971153846153846,0.5725234567901235,0.3333333333333333,0.6666666666666666,2.0
clustered,0.7229629629629629,0.26666666666666666,0.5885096296296297,0.33333333333333337,0.6666666666666666,2.0
all,0.6140740740740741,0.18466353677621283,0.4836641975308642,0.5461948751830967,1.0,3.0
