round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,random,0.7348148148148148,0.16744186046511628,0.5454755555555556,0.5060845409807379,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv
2,random,0.8333333333333334,0.0,0.47650370370370365,0.0,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Modbus.csv
3,random,0.6185185185185185,0.17335473515248795,0.46555061728395064,0.3333333333333333,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv
4,random,0.6185185185185185,0.17335473515248795,0.44063802469135804,0.3333333333333333,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv
5,random,0.6185185185185185,0.17335473515248795,0.4407703703703704,0.3333333333333333,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Fridge.csv
