round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,clustered,0.8333333333333334,0.0,0.49079703703703703,0.0,0.6666666666666666,2,IoT_Thermostat.csv;IoT_Modbus.csv
2,clustered,0.7511111111111111,0.2328767123287671,0.5410567901234569,0.33333333333333337,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
3,clustered,0.7333333333333333,0.24050632911392406,0.5608118518518519,0.33333333333333337,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
4,clustered,0.7474074074074074,0.22323462414578588,0.5678202469135802,0.3333333333333333,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
5,clustered,0.7229629629629629,0.26666666666666666,0.5885096296296297,0.33333333333333337,0.6666666666666666,2,IoT_Fridge.csv;IoT_Modbus.csv
