round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,clustered,0.8066666666666666,0.2018348623853211,0.5936683170438122,0.33333333333333337,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
2,clustered,0.8007407407407408,0.23796033994334279,0.6216455208037116,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
3,clustered,0.7977777777777778,0.24376731301939059,0.6363469921194816,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
4,clustered,0.7985185185185185,0.24861878453038674,0.6458129633164399,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
5,clustered,0.797037037037037,0.2554347826086957,0.6451974804155678,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
