round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,random,0.7985185185185185,0.2608695652173913,0.5330315649237074,0.3333333333333333,0.6666666666666666,2,IoT_Fridge.csv;IoT_GPS_Tracker.csv
2,random,0.7977777777777778,0.24793388429752067,0.5616125652002851,0.3333333333333333,0.6666666666666666,2,IoT_Modbus.csv;IoT_GPS_Tracker.csv
3,random,0.7755555555555556,0.28705882352941176,0.5883549076970421,0.4247254173150307,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
4,random,0.7022222222222222,0.3431372549019608,0.632418419299674,0.6303627700965447,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
5,random,0.6785185185185185,0.3384146341463415,0.6322528621902621,0.6316143339787973,0.6666666666666666,2,IoT_Modbus.csv;IoT_Fridge.csv
