round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,greedy,0.8037037037037037,0.1945288753799392,0.6053274330078027,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
2,greedy,0.7985185185185185,0.24444444444444444,0.6245125803925846,0.3333333333333333,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
3,greedy,0.7955555555555556,0.2459016393442623,0.6349485214776265,0.3880838854146634,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
4,greedy,0.794074074074074,0.26455026455026454,0.6361171598970039,0.40733705771508005,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
5,greedy,0.7933333333333333,0.259946949602122,0.6360197733620558,0.40853445097016267,0.6666666666666666,2,IoT_GPS_Tracker.csv;IoT_Modbus.csv
