round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,random,0.8377777777777777,0.34626865671641793,0.7255893655544471,0.33333333333333337,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv
2,random,0.8303703703703704,0.35492957746478876,0.717949783837712,0.4718531554699038,1.0,3,IoT_Garage_Door.csv;IoT_Fridge.csv;IoT_Weather.csv
3,random,0.8222222222222222,0.34782608695652173,0.7162084765177549,0.47633957256150555,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv
4,random,0.7955555555555556,0.3300970873786408,0.7145503085393342,0.493919945971327,1.0,3,IoT_Fridge.csv;IoT_Garage_Door.csv;IoT_Weather.csv
5,random,0.802962962962963,0.3415841584158416,0.7156726896500758,0.5166582364202024,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv
