round,strategy,accuracy,f1,auc,fairness,comm_cost,selected_clients,selected_client_names
1,clustered,0.8377777777777777,0.34626865671641793,0.715506410967003,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv
2,clustered,0.8377777777777777,0.34626865671641793,0.7157419724346895,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv
3,clustered,0.8377777777777777,0.34626865671641793,0.7196864723053615,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv
4,clustered,0.8377777777777777,0.34626865671641793,0.720975132099176,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv
5,clustered,0.8377777777777777,0.34626865671641793,0.7244346524775525,0.33333333333333337,1.0,3,IoT_Weather.csv;IoT_Garage_Door.csv;IoT_Fridge.csv
